trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences
S2_V3_causal_gpt-4o_rep4,S2,V3,3,causal,gpt-4o,4,0.4863,0.0,-0.4802,0.032113,0.9615,20,20,45
S2_V3_practical_claude-sonnet_rep0,S2,V3,3,practical,claude-sonnet,0,0.3923,0.0,-0.2856,0.222207,0.3846,16,20,31
S2_V3_practical_claude-sonnet_rep1,S2,V3,3,practical,claude-sonnet,1,0.2894,5.1e-05,-0.3111,0.181875,0.3846,17,20,31
S2_V3_practical_claude-sonnet_rep2,S2,V3,3,practical,claude-sonnet,2,0.2494,0.000521,-0.1868,0.430267,0.7692,18,20,44
S2_V3_practical_claude-sonnet_rep3,S2,V3,3,practical,claude-sonnet,3,0.2618,0.000264,-0.3799,0.098539,0.4231,13,20,26
S2_V3_practical_claude-sonnet_rep4,S2,V3,3,practical,claude-sonnet,4,0.2638,0.000235,0.0263,0.912272,0.8077,17,20,36
S2_V3_practical_gpt-4o_rep0,S2,V3,3,practical,gpt-4o,0,0.1563,0.031332,-0.1558,0.511781,0.7308,19,20,31
S2_V3_practical_gpt-4o_rep1,S2,V3,3,practical,gpt-4o,1,0.1958,0.006795,-0.0682,0.775225,0.3846,16,20,29
S2_V3_practical_gpt-4o_rep2,S2,V3,3,practical,gpt-4o,2,0.3123,1.2e-05,-0.2411,0.305859,0.5769,19,20,24
S2_V3_practical_gpt-4o_rep3,S2,V3,3,practical,gpt-4o,3,0.2258,0.001735,-0.417,0.067342,1.0,20,20,41
S2_V3_practical_gpt-4o_rep4,S2,V3,3,practical,gpt-4o,4,0.4147,0.0,-0.5455,0.012858,0.6538,20,20,28
S2_V3_historical_claude-sonnet_rep0,S2,V3,3,historical,claude-sonnet,0,0.2293,0.001461,-0.1676,0.480138,0.7308,20,20,44
S2_V3_historical_claude-sonnet_rep1,S2,V3,3,historical,claude-sonnet,1,0.3118,1.2e-05,-0.3534,0.126428,0.5,18,20,52
S2_V3_historical_claude-sonnet_rep2,S2,V3,3,historical,claude-sonnet,2,0.2463,0.000614,-0.1317,0.579969,0.8462,20,20,45
S2_V3_historical_claude-sonnet_rep3,S2,V3,3,historical,claude-sonnet,3,0.3559,0.0,-0.4338,0.056036,0.9615,20,20,36
S2_V3_historical_claude-sonnet_rep4,S2,V3,3,historical,claude-sonnet,4,0.4476,0.0,-0.4532,0.044753,0.9615,20,20,34
S2_V3_historical_gpt-4o_rep0,S2,V3,3,historical,gpt-4o,0,0.3968,0.0,-0.4269,0.060492,0.8077,20,20,28
S2_V3_historical_gpt-4o_rep1,S2,V3,3,historical,gpt-4o,1,0.3166,9e-06,-0.46,0.041264,1.0,20,20,37
S2_V3_historical_gpt-4o_rep2,S2,V3,3,historical,gpt-4o,2,0.4125,0.0,-0.4012,0.079556,0.7692,20,20,38
S2_V3_historical_gpt-4o_rep3,S2,V3,3,historical,gpt-4o,3,0.3249,5e-06,-0.4548,0.043937,0.8846,20,20,41
