trial_id,domain,v_level,v_magnitude,psi_direction,model,repetition,ssc,ssc_p,sp,sp_p,tau_preservation,n_found,n_total,n_sentences,isc,isc_p,osd,ri,pd
S2_V0_none_claude-sonnet_rep0,S2,V0,0,none,claude-sonnet,0,0.1439,0.047663,-0.2636,0.261537,1.0,20,20,41,0.0269,0.712604,0.3838,0.3368,0.0
S2_V0_none_claude-sonnet_rep1,S2,V0,0,none,claude-sonnet,1,-0.1486,0.040765,-0.2334,0.322088,1.0,20,20,41,-0.0903,0.215167,0.3203,0.4316,0.0
S2_V0_none_claude-sonnet_rep2,S2,V0,0,none,claude-sonnet,2,-0.0723,0.321783,-0.3081,0.186267,1.0,20,20,41,0.0331,0.650717,0.3405,0.1368,0.0
S2_V0_none_claude-sonnet_rep3,S2,V0,0,none,claude-sonnet,3,0.0271,0.710082,-0.2489,0.290028,1.0,20,20,41,0.1519,0.036469,0.3337,0.2842,0.0
S2_V0_none_claude-sonnet_rep4,S2,V0,0,none,claude-sonnet,4,0.2784,0.0001,-0.1759,0.458279,1.0,20,20,41,0.0917,0.208344,0.353,0.2737,0.0
S2_V0_none_gpt-4o_rep0,S2,V0,0,none,gpt-4o,0,0.0724,0.321031,-0.4363,0.054445,1.0,20,20,41,0.2017,0.005258,0.3369,0.3474,0.0
S2_V0_none_gpt-4o_rep1,S2,V0,0,none,gpt-4o,1,0.0023,0.974512,-0.2541,0.279724,1.0,20,20,41,-0.0962,0.186942,0.3285,0.4316,0.0
S2_V0_none_gpt-4o_rep2,S2,V0,0,none,gpt-4o,2,0.0829,0.255563,-0.2183,0.355054,1.0,20,20,41,0.3756,0.0,0.3906,0.2947,0.0
S2_V0_none_gpt-4o_rep3,S2,V0,0,none,gpt-4o,3,0.0071,0.922904,-0.2301,0.329022,1.0,20,20,41,-0.0091,0.901081,0.3565,0.4737,0.0
S2_V0_none_gpt-4o_rep4,S2,V0,0,none,gpt-4o,4,-0.0075,0.918003,0.0469,0.84446,1.0,20,20,41,-0.0559,0.443767,0.3429,0.4,0.0
S2_V1_none_claude-sonnet_rep0,S2,V1,1,none,claude-sonnet,0,0.4324,0.0,-0.5201,0.018727,1.0,20,20,16,0.61,0.0,0.5631,0.9895,0.0
S2_V1_none_claude-sonnet_rep1,S2,V1,1,none,claude-sonnet,1,0.4949,0.0,-0.5391,0.014179,1.0,20,20,20,0.6093,0.0,0.5285,0.8421,0.0
S2_V1_none_claude-sonnet_rep2,S2,V1,1,none,claude-sonnet,2,0.47,0.0,-0.4805,0.031991,0.9615,20,20,21,0.4774,0.0,0.5097,0.8842,0.0
